trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Tunsbergleden,Gon Camping,Campingplass | Teltplass,59.0214358,10.0719031,matched,node/3663315018,https://www.openstreetmap.org/node/3663315018,43.2,osm:tents=no,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/3663315018.
Tunsbergleden,Grillhytta på Labakken,Gapahuk | Rasteplass,59.2378550,10.3995218,matched,node/12204728472,https://www.openstreetmap.org/node/12204728472,19.4,+name=Grillhytta på Labakken,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/12204728472.
Tunsbergleden,Hamborgstrømpaviljongen,Rom og hytter | Teltplass,59.7542118,10.1912597,matched,node/9797299419,https://www.openstreetmap.org/node/9797299419,2.3,tourism:chalet->wilderness_hut,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/9797299419.
Tunsbergleden,Knutserød ved Borrevannet,Gapahuk | Rasteplass,59.4189000,10.4392000,matched,node/4341903601,https://www.openstreetmap.org/node/4341903601,32.7,+amenity=shelter; +name=Knutserød ved Borrevannet; +shelter_type=lean_to; osm:tourism=picnic_site,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/4341903601.
Tunsbergleden,Kystledhytta Løvøysund,Rom og hytter,59.4454720,10.4550560,matched,node/1356458508,https://www.openstreetmap.org/node/1356458508,0.8,name:Kystledhytta Løvøysund->Løvøysund,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/1356458508.
Tunsbergleden,Kystledhytta på Langgrunn,Rom og hytter,59.3891670,10.4767220,matched,node/9833704334,https://www.openstreetmap.org/node/9833704334,2.9,name:Kystledhytta på Langgrunn->Langgrunn,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/9833704334.
Tunsbergleden,Kystledhytta Søndre Tenvik,Rom og hytter,59.1733211,10.3677163,matched,node/1356459151,https://www.openstreetmap.org/node/1356459151,6.9,name:Kystledhytta Søndre Tenvik->Søndre Tenvik,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/1356459151.
Tunsbergleden,Orebergvannet lavvo ved Veseterstulen,Rasteplass,59.5465987,10.2130151,matched,way/896193087,https://www.openstreetmap.org/way/896193087,60.9,+name=Orebergvannet lavvo ved Veseterstulen; shelter_type:lean_to->basic_hut,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/896193087.
Tunsbergleden,Småvannsbu,Rom og hytter | Teltplass,59.7862200,10.3764400,matched,node/343508885,https://www.openstreetmap.org/node/343508885,7.1,tourism:chalet->wilderness_hut,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/343508885.
Tunsbergleden,Wentzelhytta,Rom og hytter,59.8094466,10.4196783,matched,node/9810716523,https://www.openstreetmap.org/node/9810716523,6.4,,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/9810716523.
Tunsbergleden,Kystledhytta Gon,Rom og hytter,59.0200560,10.0705830,possible,node/3663315018,https://www.openstreetmap.org/node/3663315018,204.4,compatible_tag_beyond_100m; name:Kystledhytta Gon->Gon Camping; osm:tents=no; tourism:chalet->camp_site,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/3663315018.
Tunsbergleden,Langøyene camping,Teltplass,59.8712779,10.7156181,possible,way/1547711866,https://www.openstreetmap.org/way/1547711866,156.5,compatible_tag_beyond_100m; name:Langøyene camping->Langøyene Teltplass,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1547711866.
