trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Gudbrandsdalsleden,Fuglesang herberge,Pilegrimsherberge,59.9238617,10.6365279,gap,,,,,Proposed addition
Gudbrandsdalsleden,Gamleveien 60,Rom og hytter | Teltplass,60.2153432,10.3759525,gap,,,,,Proposed addition
Gudbrandsdalsleden,"Gapahuk ""Pilegrimshvile""",Gapahuk,59.9662800,10.9510000,gap,,,,,Proposed addition
Gudbrandsdalsleden,Gapahuk i Klokkerhavna,Teltplass | Gapahuk,60.3674225,10.5375538,gap,,,,,Proposed addition
Gudbrandsdalsleden,"Gapahuk på Lindeberg etter Vilbergfjellet, før Arteid",Gapahuk,60.0427147,11.1536121,gap,,,,,Proposed addition
Gudbrandsdalsleden,Gardlaus Markastue og pilegrimsherberge,Rom og hytter,59.9338221,10.5539131,gap,,,,,Proposed addition
Gudbrandsdalsleden,Gjesvold Gård,Pilegrimsherberge | Rom og hytter | Teltplass,60.0736304,10.2792994,gap,,,,,Proposed addition
Gudbrandsdalsleden,Hagevandring Nordre Toten,Pilegrimsherberge | Teltplass,60.7469020,10.7617495,gap,,,,,Proposed addition
Gudbrandsdalsleden,Haug pilegrimsrast og herberge,Rom og hytter | Teltplass,60.3406255,11.2885350,gap,,,,,Proposed addition
Gudbrandsdalsleden,Helgaker Gård,Rom og hytter,60.3791087,10.5349635,gap,,,,,Proposed addition
Gudbrandsdalsleden,Hoffsvangen Bygdestue,Pilegrimsherberge | Vandrerhjem | Teltplass | Rasteplass,60.6850324,10.8435928,gap,,,,,Proposed addition
Gudbrandsdalsleden,Hos Margit,Pilegrimsherberge,61.5413047,10.1250091,gap,,,,,Proposed addition
Gudbrandsdalsleden,Huset i skogen,Rom og hytter,60.4700223,10.5752249,gap,,,,,Proposed addition
Gudbrandsdalsleden,Hytte på Gørdammen,Rom og hytter | Gapahuk,60.6638918,11.1756588,gap,,,,,Proposed addition
Gudbrandsdalsleden,Indal Forest Retreat,Rom og hytter | Teltplass,60.8807748,10.6618528,gap,,,,,Proposed addition
Gudbrandsdalsleden,Ingeborg Refling Hagens kulturhus Fredheim,Pilegrimsherberge,60.6212118,11.2524471,gap,,,,,Proposed addition
Gudbrandsdalsleden,InnomHaug pilegrimsherberge,Teltplass,60.1469858,11.1421577,gap,,,,,Proposed addition
Gudbrandsdalsleden,Jomfruburet & Drengstua,Pilegrimsherberge | Rom og hytter,60.3656170,10.5367932,gap,,,,,Proposed addition
Gudbrandsdalsleden,Jørundgard Viking- og Middelaldersenter,Rom og hytter,61.8454800,9.4346100,gap,,,,,Proposed addition
Gudbrandsdalsleden,Kaldor Gård - overnatting og utsikt i Hafjell,Pilegrimsherberge,61.2344600,10.4614600,gap,,,,,Proposed addition
Gudbrandsdalsleden,Klokkargården Halstad,Pilegrimsherberge,61.5058856,10.1774168,gap,,,,,Proposed addition
Gudbrandsdalsleden,Konstadtunet,Pilegrimsherberge,63.2298010,10.1265059,gap,,,,,Proposed addition
Gudbrandsdalsleden,Kronprinsens utsikt,Gapahuk | Rasteplass,60.0532534,10.3231487,gap,,,,,Proposed addition
Gudbrandsdalsleden,Kveldsro ved Fløyta,Pilegrimsherberge | Rom og hytter,60.4214572,11.2844075,gap,,,,,Proposed addition
Gudbrandsdalsleden,Langklopp Fjellgård,Vandrerhjem,62.7268177,9.9358174,gap,,,,,Proposed addition
