trail,country,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,source,path_types,naturkartan_id,proposal_note
St. Olavsleden,Norway,Sundsvalls ridklubb,Pilegrimsherberge,62.4128481,17.1980667,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Valberg Slektsgård,Pilegrimsherberge,63.5538542,10.6690121,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Valum Gård Pilegrimsovernatting,Rom og hytter,63.7026314,11.1328350,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Øfsti Mellom,Pilegrimsherberge,63.4511383,11.0536194,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Backs semesterby,Rom og hytter,63.3956880,12.8642350,matched,way/587589526,https://www.openstreetmap.org/way/587589526,49.5,name:Backs semesterby->Backs Semesterby,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/587589526.
St. Olavsleden,Norway,Erikbu,Gapahuk,63.3817267,10.7357765,matched,node/8260089908,https://www.openstreetmap.org/node/8260089908,3.8,,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/8260089908.
St. Olavsleden,Norway,Frösö pilgrimscenter,Pilegrimsherberge,63.1782637,14.5206025,matched,node/4558612412,https://www.openstreetmap.org/node/4558612412,69.2,osm:amenity=shelter; +hostel:type=pilgrim; +name=Frösö pilgrimscenter; osm:shelter_type=public_transport; +tourism=hostel,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/4558612412.
St. Olavsleden,Norway,Gapahuk Kleivdalen,Gapahuk,63.7013306,11.8957901,matched,node/12825373745,https://www.openstreetmap.org/node/12825373745,11.2,+name=Gapahuk Kleivdalen,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/12825373745.
St. Olavsleden,Norway,Gapahuk på Kvilbekken,Gapahuk,63.6422773,12.1547489,matched,way/1060280800,https://www.openstreetmap.org/way/1060280800,5.9,+name=Gapahuk på Kvilbekken,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1060280800.
St. Olavsleden,Norway,Hellberg herberge,Pilegrimsherberge,63.6322739,10.8115467,matched,node/6566674939,https://www.openstreetmap.org/node/6566674939,10.9,+hostel:type=pilgrim,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6566674939.
St. Olavsleden,Norway,Laberget leirsted og Pilegrimshus,Pilegrimsherberge,63.7066220,11.1367035,matched,node/6817588289,https://www.openstreetmap.org/node/6817588289,37.2,+hostel:type=pilgrim; name:Laberget leirsted og Pilegrimshus->Laberget leirsted; tourism:hostel->guest_house,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6817588289.
St. Olavsleden,Norway,Levanger Camping,Campingplass,63.7396345,11.2799534,matched,node/3663315568,https://www.openstreetmap.org/node/3663315568,71.0,osm:tents=yes,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3663315568.
St. Olavsleden,Norway,Monaplassen gapahuk,Gapahuk,63.4768737,11.0316430,matched,node/13945719601,https://www.openstreetmap.org/node/13945719601,18.7,+name=Monaplassen gapahuk; +shelter_type=lean_to,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13945719601.
St. Olavsleden,Norway,Munkeby herberge,Pilegrimsherberge,63.7239596,11.3838302,matched,node/6817570380,https://www.openstreetmap.org/node/6817570380,6.8,+hostel:type=pilgrim; name:Munkeby herberge->Munkeby Herberge; tourism:hostel->guest_house,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6817570380.
St. Olavsleden,Norway,Ristafallet,Campingplass,63.3125440,13.3475827,matched,way/783370464,https://www.openstreetmap.org/way/783370464,51.2,name:Ristafallet->Ristafallet Camping; osm:tents=yes,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/783370464.
St. Olavsleden,Norway,Rumi Hostel - Trondheim Vandrerhjem,Pilegrimsherberge,63.4337714,10.4245614,matched,way/1039106465,https://www.openstreetmap.org/way/1039106465,11.0,+hostel:type=pilgrim; name:Rumi Hostel - Trondheim Vandrerhjem->RUMI Hostel,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1039106465.
St. Olavsleden,Norway,Stiklestad Camping,Rom og hytter | Teltplass,63.7739444,11.5785734,matched,node/3663316782,https://www.openstreetmap.org/node/3663316782,86.8,osm:tents=yes; tourism:chalet->camp_site,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3663316782.
St. Olavsleden,Norway,Troset Gård – overnatting for pilegrimer,Pilegrimsherberge,63.6305095,11.3234496,matched,node/6817570375,https://www.openstreetmap.org/node/6817570375,16.0,+hostel:type=pilgrim; name:Troset Gård – overnatting for pilegrimer->Troset gård; tourism:hostel->apartment,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6817570375.
St. Olavsleden,Norway,Träporten,Pilegrimsherberge | Rom og hytter,62.5366430,15.9193640,matched,way/1238807100,https://www.openstreetmap.org/way/1238807100,54.8,+hostel:type=pilgrim; name:Träporten->Borgsjö Strand Restaurang & Camping; osm:tents=yes; tourism:hostel->camp_site,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1238807100.
St. Olavsleden,Norway,Ådalsvollen Pilegrimslodge,Rom og hytter,63.6642499,12.0552770,matched,node/13960824037,https://www.openstreetmap.org/node/13960824037,26.1,name:Ådalsvollen Pilegrimslodge->Ådalsvollen Retreat,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13960824037.
St. Olavsleden,Norway,Andrum för pilgrim,Rom og hytter,63.4018480,13.0731494,possible,node/13246508845,https://www.openstreetmap.org/node/13246508845,154.3,compatible_tag_beyond_100m; osm:amenity=shelter; name:Andrum för pilgrim->Värmestuga; +tourism=chalet,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13246508845.
St. Olavsleden,Norway,Austnes Gård og Camping,Campingplass | Rom og hytter,63.7735181,11.7302590,possible,way/609899583,https://www.openstreetmap.org/way/609899583,203.7,compatible_tag_beyond_100m; name:Austnes Gård og Camping->Østnes Camping; tourism:chalet->camp_site,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/609899583.
St. Olavsleden,Norway,Bromyra Camping,Rom og hytter,62.7547495,15.4345578,possible,node/1642118079,https://www.openstreetmap.org/node/1642118079,128.1,compatible_tag_beyond_100m; osm:amenity=shelter; +name=Bromyra Camping; osm:shelter_type=picnic_shelter; +tourism=chalet,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/1642118079.
St. Olavsleden,Norway,Camp Viking,Campingplass,62.9175777,15.2529716,possible,node/290482991,https://www.openstreetmap.org/node/290482991,127.0,compatible_tag_beyond_100m,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/290482991.
St. Olavsleden,Norway,Hytte ved Tännforsen,Rom og hytter,63.4423883,12.7398206,possible,node/3620392887,https://www.openstreetmap.org/node/3620392887,119.3,incompatible_or_weak_tags; +name=Hytte ved Tännforsen; tourism:chalet->picnic_site,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3620392887.
St. Olavsleden,Norway,Scandic Stiklestad Hotell,Pilegrimsherberge,63.7959568,11.5625599,possible,node/14086452092,https://www.openstreetmap.org/node/14086452092,30.1,incompatible_or_weak_tags; +hostel:type=pilgrim; name:Scandic Stiklestad Hotell->Stiklestad pilegrimssenter; tourism:hostel->information,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/14086452092.
St. Olavsleden,Norway,Storsand Gård Camping,Teltplass,63.4322046,10.7085925,possible,way/175424875,https://www.openstreetmap.org/way/175424875,233.4,compatible_tag_beyond_100m,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/175424875.
St. Olavsleden,Norway,Åre Fjällsätra,Pilegrimsherberge,63.3171850,13.2371446,possible,node/13590708417,https://www.openstreetmap.org/node/13590708417,112.7,compatible_tag_beyond_100m; +hostel:type=pilgrim; name:Åre Fjällsätra->Gårdhuset Vandrarhem,pilegrimsleden.no,hiking,,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13590708417.
St. Olavsleden,Sweden,"Alsen, Stuga",Boende,63.3860220,13.9266420,gap,,,,,stolavsleden.com,all,21487,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Andersböle, Fäbodvall",Boende,63.3496401,13.7180541,gap,,,,,stolavsleden.com,all,21418,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Attefallshus, Undersåker",Boende,63.3139573,13.2293515,gap,,,,,stolavsleden.com,all,138521,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Bakgården, Revsund",Boende,62.8945700,15.1066710,gap,,,,,stolavsleden.com,all,21392,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Bellmangårdens Pilgrimsboende, Matfors",Boende,62.3495207,17.0062789,gap,,,,,stolavsleden.com,all,100142,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Björnidet Mörsil,Boende,63.3117465,13.6506869,gap,,,,,stolavsleden.com,all,148431,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Bo i ro, Gällö",Boende,62.9372706,15.2547821,gap,,,,,stolavsleden.com,all,22161,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
