osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
way/1454090159,https://www.openstreetmap.org/way/1454090159,,59.4452324,10.7028548,,shelter,yes,1460.8,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1454090159.
way/1434811144,https://www.openstreetmap.org/way/1434811144,,59.4457673,10.6451620,picnic_site,,,1464.8,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1434811144.
node/3288326186,https://www.openstreetmap.org/node/3288326186,,58.9778358,11.4514296,,shelter,,1467.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/3288326186.
node/2785921067,https://www.openstreetmap.org/node/2785921067,K7 Hotel Oslo,59.9099470,10.7414060,hotel,,,1471.9,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/2785921067.
node/311268459,https://www.openstreetmap.org/node/311268459,Att Kvadraturen,59.9094670,10.7408580,hotel,,,1475.4,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/311268459.
way/1126111621,https://www.openstreetmap.org/way/1126111621,,59.9170263,10.7584032,,shelter,,1484.4,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1126111621.
node/11883864450,https://www.openstreetmap.org/node/11883864450,,59.8764464,10.8165353,picnic_site,,,1492.3,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/11883864450.
way/1126111625,https://www.openstreetmap.org/way/1126111625,,59.9170602,10.7581311,,shelter,,1492.7,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1126111625.
node/1841956620,https://www.openstreetmap.org/node/1841956620,,59.4261007,10.6895694,,shelter,,1497.5,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/1841956620.
node/475861369,https://www.openstreetmap.org/node/475861369,Anker Hostel,59.9170480,10.7576500,hostel,,,1499.9,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/475861369.
way/702546436,https://www.openstreetmap.org/way/702546436,,59.8606181,10.8283309,picnic_site,,,1504.7,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/702546436.
way/352064539,https://www.openstreetmap.org/way/352064539,,59.7932617,10.8494571,,shelter,,1519.1,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/352064539.
way/947410674,https://www.openstreetmap.org/way/947410674,,59.7564234,10.8394778,,shelter,yes,1536.9,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/947410674.
node/11883864448,https://www.openstreetmap.org/node/11883864448,,59.8737311,10.8183050,picnic_site,,,1545.6,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/11883864448.
node/475861368,https://www.openstreetmap.org/node/475861368,Anker Hotel,59.9175930,10.7580350,hotel,,,1550.7,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/475861368.
node/10183086027,https://www.openstreetmap.org/node/10183086027,,59.4456676,10.7045638,picnic_site,,,1550.8,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/10183086027.
