trail,poi_name,category,lat,lon,url
Gudbrandsdalsleden,Bøndernes Hus Jevnaker,Gapahuk,60.2529905,10.4293258,https://www.pilegrimsleden.no/interessepunkter/bondernes-hus-jevnaker
Gudbrandsdalsleden,Dalum herberge tilbyr enkel overnatting til pilegrimer,Pilegrimsherberge,61.6805397,9.5678257,https://www.pilegrimsleden.no/interessepunkter/dalum-herberge-tilbyr-enkel-overnatting-til-pilegrimer
Gudbrandsdalsleden,Dovrefjell Lodge (Furuhaugli),Vandrerhjem | Rom og hytter | Teltplass,62.1535067,9.3706512,https://www.pilegrimsleden.no/interessepunkter/furuhaugli-turisthytter
Gudbrandsdalsleden,Dovregubbens Hall,Vandrerhjem,62.1746080,9.4288660,https://www.pilegrimsleden.no/interessepunkter/dovregubbens-hall
Gudbrandsdalsleden,Dovreskogen camping,Rom og hytter | Teltplass,61.9286771,9.3168783,https://www.pilegrimsleden.no/interessepunkter/dovreskogen-camping
Gudbrandsdalsleden,Dovreskogen Gjestegård,Vandrerhjem | Teltplass,61.9118008,9.3607324,https://www.pilegrimsleden.no/interessepunkter/dovreskogen-gjestegard
Gudbrandsdalsleden,Eidsvoll gamle prestegård - STENGT I 2026,Pilegrimsherberge | Teltplass,60.3197741,11.2458617,https://www.pilegrimsleden.no/interessepunkter/eidsvoll-gamle-prestegard
Gudbrandsdalsleden,Elgsjøhytta (for grupper),Rom og hytter,62.3790904,9.7729082,https://www.pilegrimsleden.no/interessepunkter/elgsjohytta-for-grupper
Gudbrandsdalsleden,Elstad Camping,Pilegrimsherberge | Campingplass,61.5015144,10.1689251,https://www.pilegrimsleden.no/interessepunkter/elstad-camping-camping-site-on-the-riverbank-of-gudbrandsdalslagen
Gudbrandsdalsleden,ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN,Pilegrimsherberge | Campingplass,61.5015145,10.1688644,https://www.pilegrimsleden.no/interessepunkter/elstad-camping-i-vakre-omgivelser-ved-gudbrandsdalslagen
Gudbrandsdalsleden,Engen kloster i Kolbu,Pilegrimsherberge,60.5895024,10.7197376,https://www.pilegrimsleden.no/interessepunkter/engen-kloster-i-kolbu-overnatting
Gudbrandsdalsleden,Enkel overnatting i gapahuk/hytte,Gapahuk,60.3805850,11.2759638,https://www.pilegrimsleden.no/interessepunkter/enkel-overnatting-i-gapahuk-hytte
Gudbrandsdalsleden,Fjellheim gård,Pilegrimsherberge | Teltplass,60.0378726,11.1432213,https://www.pilegrimsleden.no/interessepunkter/fjellheim-gard
Gudbrandsdalsleden,Fjetre gård - midelrtidig stengt,Pilegrimsherberge,60.7621526,11.0896601,https://www.pilegrimsleden.no/interessepunkter/fjetre-gard
Gudbrandsdalsleden,Fokstugu Fjellstue,Vandrerhjem,62.1140805,9.2871092,https://www.pilegrimsleden.no/interessepunkter/fokstugu-fjellstue
Gudbrandsdalsleden,Fuglesang herberge,Pilegrimsherberge,59.9238617,10.6365279,https://www.pilegrimsleden.no/interessepunkter/fuglesang-herberge-2
Gudbrandsdalsleden,Furuodden Camping,Campingplass | Rom og hytter | Teltplass,61.0224513,10.4576106,https://www.pilegrimsleden.no/interessepunkter/furuodden-camping
Gudbrandsdalsleden,Gamleveien 60,Rom og hytter | Teltplass,60.2153432,10.3759525,https://www.pilegrimsleden.no/interessepunkter/gamleveien-60
Gudbrandsdalsleden,"Gapahuk ""Pilegrimshvile""",Gapahuk,59.9662800,10.9510000,https://www.pilegrimsleden.no/interessepunkter/gapahuk-pilegrimshvile
Gudbrandsdalsleden,Gapahuk Frya,Gapahuk,61.5511860,10.0430918,https://www.pilegrimsleden.no/interessepunkter/gapahuk-frya
Gudbrandsdalsleden,Gapahuk i Furuberget,Gapahuk,60.8180334,11.0204029,https://www.pilegrimsleden.no/interessepunkter/gapahuk-i-furuberget
Gudbrandsdalsleden,Gapahuk i Klokkerhavna,Teltplass | Gapahuk,60.3674225,10.5375538,https://www.pilegrimsleden.no/interessepunkter/gapahuk-i-klokkerhavna
Gudbrandsdalsleden,Gapahuk i Skar,Gapahuk,61.5904745,9.8321629,https://www.pilegrimsleden.no/interessepunkter/gapahuk-i-skar
Gudbrandsdalsleden,"Gapahuk på Lindeberg etter Vilbergfjellet, før Arteid",Gapahuk,60.0427147,11.1536121,https://www.pilegrimsleden.no/interessepunkter/gapahuk-pa-lindeberg-etter-vilbergfjellet-for-arteid
Gudbrandsdalsleden,Gapahuk på Snøton,Gapahuk,63.1879637,9.8919895,https://www.pilegrimsleden.no/interessepunkter/gapahuk-pa-snoton
Gudbrandsdalsleden,Gapahuk ved Hjerkindammen,Gapahuk,62.2149902,9.5783620,https://www.pilegrimsleden.no/interessepunkter/gapahuk-ved-hjerkindammen
Gudbrandsdalsleden,Gapahuk ved Honerud Gård,Teltplass | Gapahuk,60.1948610,10.3523226,https://www.pilegrimsleden.no/interessepunkter/gapahuk-i-haug
Gudbrandsdalsleden,Gapahuk ved Nordsveodden i Ottestad,Gapahuk,60.7691810,11.0742694,https://www.pilegrimsleden.no/interessepunkter/gapahuk-ved-nordsveodden-i-ottestad
Gudbrandsdalsleden,"Gapahuken ""Gubbero""",Gapahuk,59.9663388,10.9423496,https://www.pilegrimsleden.no/interessepunkter/gapahuken-gubbero
Gudbrandsdalsleden,"Gapahuken ""Kjerringfred""",Gapahuk,59.9590930,10.9450000,https://www.pilegrimsleden.no/interessepunkter/gapahuken-kjerringfred
Gudbrandsdalsleden,Gardlaus Markastue og pilegrimsherberge,Rom og hytter,59.9338221,10.5539131,https://www.pilegrimsleden.no/interessepunkter/garlaus-markastue-og-pilegrimsherberge
Gudbrandsdalsleden,Gildesvollen Pilegrimsherberge - overnatting på en historisk plass,Pilegrimsherberge,61.5090688,10.1698167,https://www.pilegrimsleden.no/interessepunkter/gildesvollen-pilegrimsherberge
Gudbrandsdalsleden,Gjesteheim Havdal,Vandrerhjem,62.7641548,9.9697226,https://www.pilegrimsleden.no/interessepunkter/havdal-gjesteheim
Gudbrandsdalsleden,Gjesvold Gård,Pilegrimsherberge | Rom og hytter | Teltplass,60.0736304,10.2792994,https://www.pilegrimsleden.no/interessepunkter/gjesvold-gard
Gudbrandsdalsleden,Gjøvik Vandrerhjem Hovdetun,Pilegrimsherberge | Vandrerhjem | Rom og hytter,60.7976461,10.6716295,https://www.pilegrimsleden.no/interessepunkter/gjovik-vandrerhjem-hovdetun
Gudbrandsdalsleden,Granmo Camping,Campingplass | Rom og hytter | Teltplass,62.5478528,9.6287959,https://www.pilegrimsleden.no/interessepunkter/granmo-camping
Gudbrandsdalsleden,Gumdal gård,Pilegrimsherberge,63.1764144,9.7727062,https://www.pilegrimsleden.no/interessepunkter/gumdal
Gudbrandsdalsleden,Guriberget,Gapahuk,62.6249186,9.7557765,https://www.pilegrimsleden.no/interessepunkter/guriberget
Gudbrandsdalsleden,Hageseter Turisthytte,Vandrerhjem | Rom og hytter | Teltplass,62.1957542,9.5476985,https://www.pilegrimsleden.no/interessepunkter/hageseter-turisthytte
Gudbrandsdalsleden,Hagevandring Nordre Toten,Pilegrimsherberge | Teltplass,60.7469020,10.7617495,https://www.pilegrimsleden.no/interessepunkter/hagevandring-nordre-toten
Gudbrandsdalsleden,Haug pilegrimsrast og herberge,Rom og hytter | Teltplass,60.3406255,11.2885350,https://www.pilegrimsleden.no/interessepunkter/haug-pilegrimsrast-og-herberge
Gudbrandsdalsleden,Heimtun Camping. Hytter og teltplass,Rom og hytter | Teltplass,61.5504400,10.0484400,https://www.pilegrimsleden.no/interessepunkter/heimtun-camping-hytter-og-teltplass
Gudbrandsdalsleden,Hekshusstranda Camping,Campingplass | Rom og hytter | Teltplass | Rasteplass,60.7225580,10.8500830,https://www.pilegrimsleden.no/interessepunkter/hekshusstranda-camping
Gudbrandsdalsleden,Helgaker Gård,Rom og hytter,60.3791087,10.5349635,https://www.pilegrimsleden.no/interessepunkter/helgaker-gard
Gudbrandsdalsleden,Hjerkinn Fjellstue & Fjellridning,Rom og hytter | Teltplass,62.2221464,9.5765378,https://www.pilegrimsleden.no/interessepunkter/hjerkinn-fjellstue-fjellridning
Gudbrandsdalsleden,Hoff Gjestgiveri,Pilegrimsherberge,60.6826990,10.8429160,https://www.pilegrimsleden.no/interessepunkter/hoff-gjestgiveri
Gudbrandsdalsleden,Hoffsvangen Bygdestue,Pilegrimsherberge | Vandrerhjem | Teltplass | Rasteplass,60.6850324,10.8435928,https://www.pilegrimsleden.no/interessepunkter/hoffsvangen
Gudbrandsdalsleden,Hos Margit,Pilegrimsherberge,61.5413047,10.1250091,https://www.pilegrimsleden.no/interessepunkter/hos-margit-herberge-ovenfor-ringebu-sentrum
Gudbrandsdalsleden,Huset i skogen,Rom og hytter,60.4700223,10.5752249,https://www.pilegrimsleden.no/interessepunkter/huset-i-skogen
Gudbrandsdalsleden,Husmannsstuggua,Pilegrimsherberge | Rom og hytter | Teltplass,60.9517894,10.6111379,https://www.pilegrimsleden.no/interessepunkter/husmannstugua
Gudbrandsdalsleden,Hytte på Gørdammen,Rom og hytter | Gapahuk,60.6638918,11.1756588,https://www.pilegrimsleden.no/interessepunkter/gordammen-hytte-og-gapahuk
Gudbrandsdalsleden,Hæverstølen,Pilegrimsherberge | Rom og hytter,62.7431515,9.9542422,https://www.pilegrimsleden.no/interessepunkter/haeverstolen
Gudbrandsdalsleden,IMI Stølen,Vandrerhjem | Rom og hytter | Teltplass,62.6117061,9.7374596,https://www.pilegrimsleden.no/interessepunkter/imi-stolen
Gudbrandsdalsleden,Indal Forest Retreat,Rom og hytter | Teltplass,60.8807748,10.6618528,https://www.pilegrimsleden.no/interessepunkter/indal-forest-retreat
Gudbrandsdalsleden,Ingeborg Refling Hagens kulturhus Fredheim,Pilegrimsherberge,60.6212118,11.2524471,https://www.pilegrimsleden.no/interessepunkter/fredheim
Gudbrandsdalsleden,InnomHaug pilegrimsherberge,Teltplass,60.1469858,11.1421577,https://www.pilegrimsleden.no/interessepunkter/innomhaug
Gudbrandsdalsleden,Jomfruburet & Drengstua,Pilegrimsherberge | Rom og hytter,60.3656170,10.5367932,https://www.pilegrimsleden.no/interessepunkter/jomfruburet-drengstua
