trail,poi_name,category,lat,lon,address,match_status,matched_osm_id,matched_osm_url,matched_osm_name,distance_m,tag_diff
Gudbrandsdalsleden,Jørundgard Viking- og Middelaldersenter,Overnatting | Rom og hytter,61.8454800,9.4346100,,gap,,,,,
Gudbrandsdalsleden,Kaldor Gård - overnatting og utsikt i Hafjell,Overnatting | Pilegrimsherberge,61.2344600,10.4614600,,gap,,,,,
Gudbrandsdalsleden,Klokkargården Halstad,Overnatting | Pilegrimsherberge,61.5058856,10.1774168,,gap,,,,,
Gudbrandsdalsleden,Konstadtunet,Overnatting | Pilegrimsherberge,63.2298010,10.1265059,"Hølondvegen 1119, 7350 Buvika",gap,,,,,
Gudbrandsdalsleden,Kronprinsens utsikt,Gapahuk | Rasteplass,60.0532534,10.3231487,,gap,,,,,
Gudbrandsdalsleden,Kveldsro ved Fløyta,Overnatting | Pilegrimsherberge | Rom og hytter,60.4214572,11.2844075,Kvennhusvikvegen ved Fløyta,gap,,,,,
Gudbrandsdalsleden,Langklopp Fjellgård,Overnatting | Vandrerhjem,62.7268177,9.9358174,"Gamle Kongeveg 2264, 7397 Rennebu, Norge",gap,,,,,
Gudbrandsdalsleden,Lerfald gård,Overnatting | Pilegrimsherberge,63.3451867,10.2539145,"Leinstrandvegen 536, 7083 Leinstrand",gap,,,,,
Gudbrandsdalsleden,Majer Gård,Overnatting | Pilegrimsherberge | Rom og hytter,60.6609649,10.8388936,"Majer gård, 2850 Lena",gap,,,,,
Gudbrandsdalsleden,Majors-Alm Gård,Overnatting | Pilegrimsherberge | Teltplass,60.3875078,10.5189660,"Kongevegen 56, 2770 Jaren",gap,,,,,
Gudbrandsdalsleden,Meslo Herberge,Overnatting | Pilegrimsherberge,62.8476947,9.8826163,"Orkdalsveien 848, 7392 Rennebu",gap,,,,,
Gudbrandsdalsleden,Mjuklia - overnatting på Berkåk,Overnatting | Vandrerhjem,62.8342780,10.0009920,"Mjukliveien 15, 7391 Rennebu",gap,,,,,
Gudbrandsdalsleden,Mjøsli - glamping eller hytter,Overnatting | Rom og hytter,60.4977427,11.2544911,"Budalsvegen 38, 2338 Espa",gap,,,,,
Gudbrandsdalsleden,Myhrer gård,Overnatting | Campingplass | Teltplass,60.0089063,11.1136062,"Gauteidveien 130, 2016 Frogner",gap,,,,,
Gudbrandsdalsleden,Nordre Helgaker Gård,Overnatting | Pilegrimsherberge | Rom og hytter | Teltplass,60.3798709,10.5356257,"Jorstadlinna 29, 2750 Gran",gap,,,,,
Gudbrandsdalsleden,Nordrum Gård,Overnatting | Pilegrimsherberge,61.4540748,10.2139943,"Nordrum Gård, Mjogdalsvegen 59 2634 Fåvang",gap,,,,,
Gudbrandsdalsleden,Pilegrimsbua ved Granerud,Gapahuk | Pilegrimsbu,60.4832465,11.3158076,Granerudvegen v/Granerudsjøen,gap,,,,,
Gudbrandsdalsleden,Rastebu Falang Bru,Rasteplass,60.3411174,10.4593363,,gap,,,,,
Gudbrandsdalsleden,Rastebu Høgkorset,Rasteplass,60.4725788,10.5811386,,gap,,,,,
Gudbrandsdalsleden,Rastebu Kjølvegen,Rasteplass,60.4526130,10.5490723,,gap,,,,,
Gudbrandsdalsleden,Rastebu Sognstoppen,Rasteplass,60.3067670,10.4197383,,gap,,,,,
Gudbrandsdalsleden,Rudsødegården,Overnatting | Pilegrimsherberge | Rom og hytter,60.3289852,10.4560345,"Vienlinna 551, 2750 Gran",gap,,,,,
Gudbrandsdalsleden,Sandbakken Camping - STENGT 2023,Overnatting | Rom og hytter,61.8593370,9.4064000,,gap,,,,,
Gudbrandsdalsleden,Segard Hoel,Overnatting | Pilegrimsherberge | Vandrerhjem,62.9913974,9.7654720,"Holsveien 18, 7335 Jerpstad",gap,,,,,
Gudbrandsdalsleden,Skaun menighetshus,Overnatting | Pilegrimsherberge,63.2505676,10.0524452,"Melbyvegen 2, 7357 Skaun",gap,,,,,
Gudbrandsdalsleden,Skogheim Pilegrimsherberge,Overnatting | Vandrerhjem,63.0880382,9.6976233,Løkkenveien 747 7332 LØKKEN VERK,gap,,,,,
Gudbrandsdalsleden,Skomakerstua,Overnatting | Rom og hytter | Teltplass | Rasteplass,60.0883732,10.2026188,"Skarpsnogata 64, 3530 Røyse",gap,,,,,
Gudbrandsdalsleden,Skysstasjonen Høgkorsplassen,Overnatting | Pilegrimsherberge | Rom og hytter | Teltplass,60.4947611,10.5966909,"Kjølvegen, 2760 Brandbu",gap,,,,,
Gudbrandsdalsleden,Slettum Gård,Overnatting | Pilegrimsherberge,60.8765748,10.6860048,"Slettumvegen 160, 2825 Gjøvik",gap,,,,,
Gudbrandsdalsleden,Solvang overnatting,Overnatting | Pilegrimsherberge | Teltplass,60.3694601,11.2789336,"Østsidavegen 407, 2080 Eidsvoll",gap,,,,,
Gudbrandsdalsleden,Spitalen gamle skolehus - vertskap Sannfredstun,Overnatting | Teltplass,60.4954632,11.3188569,"Spitalen Søndre. Erikstuvegen 38, 2338 Espa",gap,,,,,
Gudbrandsdalsleden,Stabburet på Skjefstad,Overnatting | Pilegrimsherberge,63.3448022,10.2859765,"Skjefstadbakken 76, 7083 leinstrand",gap,,,,,
Gudbrandsdalsleden,Stensveen,Overnatting | Pilegrimsherberge | Rom og hytter | Teltplass,60.7161903,10.8607610,"Fabrikkvegen 26, 2849 Kapp",gap,,,,,
Gudbrandsdalsleden,Stokke Nedre,Overnatting | Rom og hytter,60.8862349,10.6767511,,gap,,,,,
Gudbrandsdalsleden,Sveastranda Camping,Overnatting | Campingplass | Rom og hytter | Teltplass,60.8889320,10.6756640,"Stokkevegen 147, 2825 Gjøvik",gap,,,,,
Gudbrandsdalsleden,Sveinhaug gård,Overnatting | Pilegrimsherberge,60.9018402,10.7357290,"Åshøgdvegen 606, 2360 Rudshøgda",gap,,,,,
Gudbrandsdalsleden,Svorkmo skytterhus,Overnatting | Pilegrimsherberge | Vandrerhjem | Rasteplass,63.1817883,9.7981125,"Solåsveien 41, 7327 Svorkmo",gap,,,,,
Gudbrandsdalsleden,Sætrangsgata 37,Overnatting | Pilegrimsherberge,60.1602497,10.2993469,"Sætrangsgata 37, 3514 Hønefoss",gap,,,,,
Gudbrandsdalsleden,Teltplass,Overnatting | Teltplass,60.4622570,10.5738482,,gap,,,,,
Gudbrandsdalsleden,Vekve hyttetun,Overnatting | Rom og hytter,62.5965253,9.6900994,"Aunevegen 10, 7340 Oppdal.",gap,,,,,
Gudbrandsdalsleden,Østre Aker pilegrimsherberge,Overnatting | Pilegrimsherberge,59.9221295,10.8198166,"Ulvenveien 104, 0665 Oslo",gap,,,,,
Gudbrandsdalsleden,ØYGARDEN PILEGRIMSHERBERGE,Overnatting | Hotell | Pilegrimsherberge,61.8393520,9.4086146,,gap,,,,,
