osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/14086452092,https://www.openstreetmap.org/node/14086452092,Stiklestad pilegrimssenter,63.7959636,11.5619465,information,,,48.1,1585449,missing,Proposed: add as member of relation 1585449 (Nordleden). Do not modify existing members of relation 1585449 (Nordleden). Research aid only. Existing OSM object: node/14086452092.
way/236640561,https://www.openstreetmap.org/way/236640561,Scandic Stiklestad,63.7958067,11.5627671,hotel,,civic,79.4,1585449,missing,Proposed: add as member of relation 1585449 (Nordleden). Do not modify existing members of relation 1585449 (Nordleden). Research aid only. Existing OSM object: way/236640561.
node/9352334634,https://www.openstreetmap.org/node/9352334634,,63.9038600,11.5992976,picnic_site,,,601.7,1585449,missing,Proposed: add as member of relation 1585449 (Nordleden). Do not modify existing members of relation 1585449 (Nordleden). Research aid only. Existing OSM object: node/9352334634.
node/13009019152,https://www.openstreetmap.org/node/13009019152,,63.7824591,11.5708329,,shelter,,1433.0,1585449,missing,Proposed: add as member of relation 1585449 (Nordleden). Do not modify existing members of relation 1585449 (Nordleden). Research aid only. Existing OSM object: node/13009019152.
node/10073630986,https://www.openstreetmap.org/node/10073630986,Leirsjøhytta,63.8027966,11.6870263,chalet,,,1440.2,1585449,missing,Proposed: add as member of relation 1585449 (Nordleden). Do not modify existing members of relation 1585449 (Nordleden). Research aid only. Existing OSM object: node/10073630986.
